"x"
"-18.8563499999999 20.79751667"
"-18.8547 20.7929"
"-18.85926667 20.79355"
"-18.86373333 20.79926667"
"-18.86346667 20.80041667"
"-18.86455 20.802"
"-18.86511667 20.80271667"
"-18.8676 20.80723333"
"-18.86786667 20.8076"
"-18.86903333 20.80895"
"-18.86368333 20.80793333"
"-18.86206667 20.80658333"
"-18.86061667 20.80281667"
"-18.85958333 20.80136667"
"-18.85928333 20.8013"
"-18.85856667 20.8"
"-18.85486667 20.79188333"
"-18.85315 20.78961667"
"-18.85008333 20.79423333"
"-18.85331667 20.78983333"
"-18.8576 20.79725"
"-18.85778333 20.79443333"
"-18.85628333 20.79243333"
"-18.85238333 20.78973333"
"-18.84885 20.7957"
"-18.76158333 20.81276667"
"-18.76326667 20.8143"
"-18.766 20.81818333"
"-18.76306667 20.81806667"
"-18.76316667 20.81118333"
"-18.76193333 20.8134"
"-18.76273333 20.81281667"
"-18.76501667 20.81378333"
"-18.76453333 20.81"
"-18.76106667 20.81171667"
"-18.7612 20.81223333"
"-18.76393333 20.8104"
"-18.72295 20.86248333"
"-18.76166667 20.81283333"
"-18.78558333 20.74633333"
"-18.78901667 20.74766667"
"-18.78746667 20.7499"
"-18.78328333 20.74545"
"-18.78483333 20.74386667"
"-18.78791667 20.74753333"
"-18.7881 20.74545"
"-18.7852 20.74473333"
"-18.78805 20.74993333"
"-18.7861 20.74876667"
"-18.78516667 20.74646667"
"-18.78771667 20.75121667"
"-18.7866 20.75158333"
"-18.78455 20.74673333"
"-18.78481667 20.74915"
"-18.78805 20.74995"
"-18.78413333 20.74801667"
"-18.78223333 20.74921667"
"-18.78513333 20.74621667"
"-18.78441667 20.74403333"
"-18.78508333 20.74618333"
"-18.78496667 20.7463"
"-18.7849 20.7468"
"-18.78435 20.75048333"
"-18.76023333 20.81378333"
"-18.72213333 20.86181667"
"-18.72006667 20.86445"
"-18.72145 20.86426667"
"-18.60048333 20.85536667"
"-18.57873333 20.86403333"
"-18.47915 20.84608333"
"-18.48028333 20.83478333"
"-18.57321667 20.83608333"
"-18.58588333 20.83758333"
"-18.59196667 20.84938333"
"-18.5866 20.84338333"
"-18.59616667 20.8434"
"-18.59493333 20.84353333"
"-18.59598333 20.84775"
"-18.59886667 20.85428333"
"-18.60266667 20.85975"
