"X","Y","DateTime","ID"
1092327.079666,-2103349.85156125,2012-12-01 11:11:00,"MET.K1"
1091172.28343487,-2101173.87832981,2012-12-01 15:12:00,"MET.K1"
1089833.63084925,-2099912.79251371,2012-12-01 19:11:00,"MET.K1"
1089955.26728293,-2099847.72242953,2012-12-01 23:11:00,"MET.K1"
1089807.98308833,-2098986.97008354,2012-12-02 03:11:00,"MET.K1"
1089753.42960236,-2098504.94767367,2012-12-02 07:11:00,"MET.K1"
1088566.24693727,-2095756.8601562,2012-12-02 11:11:00,"MET.K1"
1087545.50173213,-2093792.42353223,2012-12-02 15:11:00,"MET.K1"
1088357.56104903,-2091033.09834908,2012-12-02 19:11:00,"MET.K1"
1088166.54641944,-2089938.68115783,2012-12-02 23:11:00,"MET.K1"
1087614.07256607,-2090270.37741463,2012-12-03 03:11:00,"MET.K1"
1088289.91315081,-2092171.62072286,2012-12-03 07:11:00,"MET.K1"
1089024.08496464,-2094465.00820331,2012-12-03 11:11:00,"MET.K1"
1088462.43738227,-2094419.47055247,2012-12-03 15:11:00,"MET.K1"
1088922.4056401,-2092188.2393774,2012-12-03 19:11:00,"MET.K1"
1089217.0045378,-2090065.17607564,2012-12-03 23:11:00,"MET.K1"
1089482.85881085,-2089323.12188553,2012-12-04 03:11:00,"MET.K1"
1089254.44219063,-2090053.01596996,2012-12-04 07:11:00,"MET.K1"
1089644.15507333,-2093634.10784933,2012-12-04 11:11:00,"MET.K1"
1090361.93961594,-2094699.68239881,2012-12-04 15:11:00,"MET.K1"
1090549.65643701,-2095622.86182848,2012-12-04 19:11:00,"MET.K1"
1090351.24737304,-2096205.82206,2012-12-04 23:11:00,"MET.K1"
1090563.58464499,-2097985.8747186,2012-12-05 07:11:00,"MET.K1"
1091423.58942962,-2099760.97375062,2012-12-05 11:11:00,"MET.K1"
1091116.43756349,-2101166.54168757,2012-12-05 15:11:00,"MET.K1"
1089803.67558335,-2102188.79078511,2012-12-05 19:11:00,"MET.K1"
