"X","Y","DateTime","ID","dry_recurse$revisits","revisits"
1099541.55113482,-2108466.52277833,2015-06-14 19:38:00,"MET.K1",21,21
1098697.08808454,-2108475.87641457,2015-06-16 15:39:00,"MET.K1",21,21
1099252.02626893,-2108423.78519431,2015-06-16 17:38:00,"MET.K1",21,21
1101031.21403683,-2108753.92982304,2015-06-20 19:39:00,"MET.K1",28,28
1098835.51320235,-2108219.04323297,2015-06-21 11:39:00,"MET.K1",21,21
1099147.34706693,-2108618.32691075,2015-06-21 13:40:00,"MET.K1",21,21
1100209.24553807,-2108819.54217902,2015-06-21 19:39:00,"MET.K1",22,22
1101096.98576318,-2108520.32046508,2015-06-23 19:23:00,"MET.K1",22,22
1101749.50923517,-2108493.71193753,2015-06-23 20:24:00,"MET.K1",46,46
1101730.95684325,-2108478.65236681,2015-06-24 18:23:00,"MET.K1",46,46
1101345.66391947,-2108680.74625378,2015-06-24 19:24:00,"MET.K1",49,49
1100739.84285282,-2108963.5316911,2015-06-24 20:24:00,"MET.K1",25,25
1098775.45135698,-2108277.14604084,2015-06-25 14:23:00,"MET.K1",21,21
1098853.04657083,-2108232.95419878,2015-06-25 15:24:00,"MET.K1",21,21
1099381.46673744,-2108183.34232991,2015-06-25 16:23:00,"MET.K1",21,21
1100801.26275584,-2109026.68652258,2015-06-26 20:23:00,"MET.K1",28,28
1101719.66663251,-2108500.52565552,2015-06-26 21:24:00,"MET.K1",46,46
1102012.31245681,-2116655.68683213,2015-06-28 19:45:00,"MET.K1",33,33
1100814.80938361,-2109000.43835725,2015-06-30 19:47:00,"MET.K1",28,28
1101534.61518673,-2108595.70276659,2015-06-30 20:47:00,"MET.K1",49,49
1102053.98428752,-2116674.84089877,2015-07-02 18:41:00,"MET.K1",33,33
1100437.00194116,-2109070.4599653,2015-07-04 15:41:00,"MET.K1",23,23
1100935.00323971,-2108719.6684975,2015-07-04 16:41:00,"MET.K1",28,28
1101759.3545158,-2108516.27253217,2015-07-04 17:41:00,"MET.K1",46,46
1102032.3802254,-2108708.63776554,2015-07-04 19:42:00,"MET.K1",44,44
1101928.72619526,-2116430.54871536,2015-07-06 17:43:00,"MET.K1",35,35
1099711.24506827,-2113114.5708503,2015-07-07 10:44:00,"MET.K1",22,22
1099675.55720061,-2113041.1321142,2015-07-07 12:43:00,"MET.K1",21,21
1102054.74643887,-2116651.51294329,2015-07-08 18:32:00,"MET.K1",33,33
1101971.64781353,-2116832.28471183,2015-07-08 19:32:00,"MET.K1",32,32
1101717.47158614,-2108470.42971526,2015-07-09 21:31:00,"MET.K1",47,47
1101737.81244354,-2108495.55561539,2015-07-10 10:31:00,"MET.K1",46,46
1101727.13631043,-2108498.54451049,2015-07-10 11:32:00,"MET.K1",46,46
1102053.36039755,-2108811.62695526,2015-07-10 12:31:00,"MET.K1",42,42
1102013.76405187,-2116611.25265574,2015-07-11 20:01:00,"MET.K1",34,34
1102037.80913193,-2116652.07163302,2015-07-11 21:02:00,"MET.K1",33,33
1101765.35766697,-2116673.19760017,2015-07-13 20:44:00,"MET.K1",32,32
1102048.11821839,-2116660.19271901,2015-07-14 12:04:00,"MET.K1",33,33
1102042.72777717,-2116663.35273153,2015-07-14 13:05:00,"MET.K1",33,33
1102048.81160491,-2116671.33577906,2015-07-14 14:05:00,"MET.K1",33,33
1101738.7877576,-2108465.56275785,2015-07-15 19:36:00,"MET.K1",47,47
1101713.13611186,-2108473.62480172,2015-07-16 09:44:00,"MET.K1",47,47
1101501.97240732,-2108135.37871664,2015-07-16 10:43:00,"MET.K1",47,47
1102204.96692454,-2105776.27685062,2015-07-16 13:43:00,"MET.K1",47,47
1102283.55143002,-2105799.95939397,2015-07-16 14:44:00,"MET.K1",47,47
1102308.59038475,-2116326.19448414,2015-07-18 20:59:00,"MET.K1",36,36
1102312.12953138,-2116379.68830053,2015-07-20 18:39:00,"MET.K1",35,35
1101738.50798876,-2108506.69844605,2015-07-23 19:10:00,"MET.K1",46,46
1102273.16256193,-2105794.06159492,2015-07-23 21:10:00,"MET.K1",47,47
1102295.74560782,-2105750.31453159,2015-07-29 20:23:00,"MET.K1",47,47
1102257.144189,-2105733.49155107,2015-07-31 19:21:00,"MET.K1",47,47
1102014.98599328,-2105696.71032605,2015-08-01 20:21:00,"MET.K1",45,45
1101908.71587754,-2116330.92383295,2015-08-06 19:01:00,"MET.K1",37,37
1101909.0922826,-2116707.91695196,2015-08-06 20:00:00,"MET.K1",32,32
1101635.90291189,-2116913.61793372,2015-08-06 21:01:00,"MET.K1",28,28
1102035.44246386,-2116659.77859669,2015-08-08 18:48:00,"MET.K1",33,33
1102053.32719774,-2116662.58698259,2015-08-08 19:49:00,"MET.K1",33,33
1102038.53881844,-2116662.10383603,2015-08-10 17:50:00,"MET.K1",33,33
1102054.96035733,-2116612.59850725,2015-08-10 18:50:00,"MET.K1",33,33
1102060.67744337,-2116599.44079804,2015-08-10 19:50:00,"MET.K1",34,34
1102059.11686506,-2116647.20756667,2015-08-10 20:50:00,"MET.K1",33,33
1101851.47510746,-2116205.61853073,2015-08-12 20:35:00,"MET.K1",38,38
1102058.60876247,-2116662.75953785,2015-08-12 21:36:00,"MET.K1",33,33
1102064.57990061,-2116641.82584658,2015-08-14 19:26:00,"MET.K1",33,33
1101999.74164501,-2116619.69089296,2015-08-14 20:26:00,"MET.K1",34,34
1108840.91103219,-2105300.25913278,2014-06-06 09:18:00,"MET.K10",31,31
1115850.99664717,-2100280.05584598,2014-06-07 17:18:00,"MET.K10",29,29
1115532.75559244,-2100566.11723599,2014-06-07 18:18:00,"MET.K10",25,25
1108732.28774647,-2105278.15544902,2014-06-13 13:18:00,"MET.K10",30,30
1115879.91579232,-2100312.52923965,2014-06-14 13:19:00,"MET.K10",29,29
1115993.33442558,-2100457.17534596,2014-06-14 14:17:00,"MET.K10",25,25
1116335.7523305,-2100240.5115743,2014-06-14 15:17:00,"MET.K10",23,23
1119087.24470743,-2099477.32148628,2014-06-14 19:17:00,"MET.K10",50,50
1108790.42668358,-2105280.06483158,2014-06-16 12:17:00,"MET.K10",31,31
1109017.77467184,-2104909.4019785,2014-06-16 13:17:00,"MET.K10",23,23
1119011.99848708,-2099988.34173427,2014-06-17 22:17:00,"MET.K10",47,47
1118693.01087467,-2103577.9505327,2014-06-18 06:17:00,"MET.K10",21,21
1119349.42292712,-2103679.56858868,2014-06-19 07:18:00,"MET.K10",23,23
1119066.75671968,-2099615.68051779,2014-06-19 20:17:00,"MET.K10",51,51
1119010.03072908,-2099782.49532904,2014-06-19 21:17:00,"MET.K10",49,49
1108835.44322257,-2105305.64027243,2014-06-21 15:17:00,"MET.K10",31,31
1108858.77147968,-2105293.43110304,2014-06-22 17:17:00,"MET.K10",31,31
1108826.39031319,-2105312.75760636,2014-06-23 16:17:00,"MET.K10",31,31
1109038.410979,-2105354.94018309,2014-06-24 15:17:00,"MET.K10",29,29
1108826.75521188,-2105301.64812057,2014-06-25 23:17:00,"MET.K10",31,31
1108842.37064136,-2105255.82118131,2014-06-26 10:18:00,"MET.K10",31,31
1116092.01304373,-2100514.20726891,2014-06-27 17:27:00,"MET.K10",25,25
1119036.36413235,-2099362.54029016,2014-06-27 20:27:00,"MET.K10",50,50
1118212.47002581,-2099676.23961317,2014-06-27 21:27:00,"MET.K10",21,21
1115921.92461425,-2100269.43056198,2014-06-28 17:37:00,"MET.K10",28,28
1118234.71444107,-2099537.94007767,2014-06-28 23:57:00,"MET.K10",21,21
1118777.88583725,-2099971.27690618,2014-06-29 00:57:00,"MET.K10",39,39
1115642.88860546,-2100330.62840356,2014-06-29 13:01:00,"MET.K10",27,27
1115869.2183865,-2100315.8819382,2014-06-29 13:59:00,"MET.K10",29,29
1116078.84419277,-2100272.77747408,2014-06-29 15:01:00,"MET.K10",27,27
1116264.84911574,-2100356.80375261,2014-06-29 15:59:00,"MET.K10",24,24
1118593.26963048,-2099368.18751997,2014-06-30 17:02:00,"MET.K10",37,37
1118860.09858448,-2099886.88194901,2014-06-30 18:01:00,"MET.K10",48,48
1118658.4346814,-2101174.17205771,2014-07-02 17:02:00,"MET.K10",22,22
1119005.65651033,-2099648.87023616,2014-07-02 18:02:00,"MET.K10",52,52
1119050.461687,-2099628.11548628,2014-07-04 19:06:00,"MET.K10",52,52
1123416.05087004,-2112374.03832475,2014-07-06 13:30:00,"MET.K10",23,23
1123234.63113562,-2112158.4090475,2014-07-06 14:31:00,"MET.K10",23,23
1119013.24724658,-2099791.87146827,2014-07-07 19:30:00,"MET.K10",49,49
1109134.15347619,-2105393.30487151,2014-07-09 13:32:00,"MET.K10",27,27
1109079.78119956,-2105384.10336424,2014-07-09 14:33:00,"MET.K10",27,27
1108821.65230244,-2105295.9197781,2014-07-10 16:33:00,"MET.K10",31,31
1123168.10556761,-2112300.78065327,2014-07-11 18:36:00,"MET.K10",24,24
1115607.79094923,-2100431.42382821,2014-07-13 17:08:00,"MET.K10",26,26
1118574.83457473,-2099816.20972834,2014-07-13 18:06:00,"MET.K10",31,31
1118693.01303524,-2099764.52631632,2014-07-16 19:25:00,"MET.K10",60,60
1118721.47284728,-2099863.728356,2014-07-16 20:25:00,"MET.K10",55,55
