"","unique","revisits2013w","revisits2014w","revisits2015w","revisits2013d","revisits2014d","revisits2015d","X","Y","diff2013","diff2014","diff2015"
"112","707",0,0,0,0,0,0,1104155.42273906,-2063637.50013142,0,0,0
"113","708",0,0,0,0,0,0,1098354.08215901,-2063474.46514823,0,0,0
"114","710",0,0,0,0,0,0,1093485.78544523,-2063399.14309239,0,0,0
"115","711",0,1,0,0,1,0,1112989.89325363,-2064086.90905055,0,0,0
"116","712",0,0,0,0,0,0,1118559.20484352,-2064299.84366398,0,0,0
"117","713",0,0,1,0,0,0,1103015.56721481,-2063998.12222987,0,0,1
"118","714",0,0,0,0,0,0,1094870.36898645,-2063928.38912177,0,0,0
"119","715",0,1,0,0,0,1,1104204.79107232,-2064094.88518646,0,1,-1
"120","716",0,0,1,0,0,0,1100764.37016991,-2064554.55795319,0,0,1
"121","717",0,0,0,0,0,0,1108037.63361614,-2064458.17237976,0,0,0
"122","718",0,10,7,0,0,0,1104015.21824399,-2064446.53743238,0,10,7
"123","719",0,0,0,0,0,0,1106543.60088089,-2064550.99675475,0,0,0
"124","721",0,0,0,0,0,0,1096890.85194738,-2064329.55118914,0,0,0
"125","722",0,0,0,0,0,0,1102762.20933919,-2064454.62598833,0,0,0
"126","723",0,0,0,0,1,1,1118098.92048199,-2064939.03382687,0,-1,-1
"127","726",0,1,0,0,1,1,1120688.62935356,-2065127.11866619,0,0,-1
"128","727",0,0,0,0,0,0,1097761.17943686,-2064631.6919262,0,0,0
"129","728",0,1,1,0,0,1,1121428.01969428,-2065271.77069788,0,1,0
"130","729",0,13,6,0,9,14,1116955.52090912,-2065329.43000601,0,4,-8
"131","730",0,0,1,0,0,0,1095420.237707,-2064775.89601548,0,0,1
"132","735",0,1,0,0,0,0,1104975.69281863,-2064912.21711232,0,1,0
"133","736",0,0,1,0,0,0,1104390.83666724,-2065238.04044565,0,0,1
"134","737",0,0,0,0,0,0,1108434.92999831,-2065190.8555233,0,0,0
"135","741",0,2,0,0,0,3,1111083.30224896,-2065385.41980754,0,2,-3
"136","743",0,0,0,0,0,0,1093584.02856901,-2064783.37573192,0,0,0
"137","745",0,0,0,0,0,0,1092612.07743304,-2064815.74459583,0,0,0
"138","746",0,2,0,0,0,6,1111470.81110824,-2065613.48481807,0,2,-6
"139","747",1,2,3,0,11,0,1119894.26756908,-2065936.83999473,1,-9,3
