"X","Y","DateTime","ID","wet_recurse$revisits","revisits"
1102292.3581459,-2105756.8765911,2014-11-24 22:50:00,"MET.K1",46,46
1102229.18026576,-2105584.68333495,2014-11-26 18:15:00,"MET.K1",43,43
1102218.88764983,-2105771.16912888,2014-11-28 23:15:00,"MET.K1",44,44
1102289.80041658,-2106095.9617258,2014-11-29 00:15:00,"MET.K1",43,43
1102266.71196674,-2106155.26063458,2014-11-29 01:15:00,"MET.K1",42,42
1102038.5722781,-2106175.6462593,2014-11-29 02:15:00,"MET.K1",41,41
1102013.97448032,-2106183.74312369,2014-11-29 03:15:00,"MET.K1",31,31
1101977.42582122,-2106201.45988622,2014-11-29 05:15:00,"MET.K1",26,26
1102042.56319733,-2106117.95075691,2014-12-01 22:55:00,"MET.K1",41,41
1101229.34424519,-2108549.08479138,2014-12-02 00:56:00,"MET.K1",21,21
1101743.86004129,-2116619.11791181,2014-12-02 20:55:00,"MET.K1",31,31
1102079.9164971,-2116657.89549723,2014-12-03 20:55:00,"MET.K1",34,34
1102028.77409631,-2116637.31993662,2014-12-04 01:55:00,"MET.K1",34,34
1101593.32696259,-2108872.28021969,2014-12-04 20:56:00,"MET.K1",27,27
1102276.68453897,-2105750.80702992,2014-12-04 22:55:00,"MET.K1",46,46
1102774.6427292,-2104851.79346519,2014-12-04 23:55:00,"MET.K1",21,21
1102292.09882403,-2105862.51072312,2014-12-05 21:24:00,"MET.K1",46,46
1101658.67192941,-2108521.89477463,2014-12-05 22:24:00,"MET.K1",30,30
1101729.79562063,-2116855.52209545,2014-12-06 22:23:00,"MET.K1",31,31
1089177.60632867,-2120913.81423561,2014-12-07 23:23:00,"MET.K1",40,40
1088845.02698607,-2120638.54956203,2014-12-09 21:23:00,"MET.K1",37,37
1088786.00177883,-2121062.48111891,2014-12-14 18:10:00,"MET.K1",39,39
1088650.85820916,-2120826.89826765,2014-12-15 21:10:00,"MET.K1",34,34
1102038.68398608,-2116657.66041685,2015-01-11 22:14:00,"MET.K1",34,34
1102029.00074312,-2117018.75725452,2015-01-11 23:13:00,"MET.K1",31,31
1101751.63859498,-2116769.49666773,2015-01-12 22:13:00,"MET.K1",31,31
1101601.40798662,-2116901.37128396,2015-01-12 23:13:00,"MET.K1",21,21
1088794.18265442,-2120807.02772195,2015-01-13 20:13:00,"MET.K1",35,35
1089042.58527735,-2120839.44384958,2015-01-14 01:14:00,"MET.K1",39,39
1088858.71785021,-2120640.09979751,2015-01-14 20:13:00,"MET.K1",37,37
1088992.05475966,-2120602.12149467,2015-01-14 21:13:00,"MET.K1",35,35
1089177.24874679,-2120430.16430135,2015-01-15 00:13:00,"MET.K1",43,43
1088643.86113851,-2120913.39491029,2015-01-15 01:14:00,"MET.K1",35,35
1088559.98909947,-2121024.11359745,2015-01-15 02:14:00,"MET.K1",36,36
1088460.45460139,-2121029.8217793,2015-01-15 03:13:00,"MET.K1",36,36
1088482.81593334,-2120991.62452691,2015-01-15 04:13:00,"MET.K1",32,32
1088596.93018728,-2120959.69990774,2015-01-15 05:13:00,"MET.K1",36,36
1088398.00486029,-2120735.41984838,2015-01-15 06:13:00,"MET.K1",34,34
1088826.69913265,-2120715.78909595,2015-01-15 20:13:00,"MET.K1",35,35
1088807.64670686,-2120749.64497014,2015-01-15 21:13:00,"MET.K1",35,35
1088411.78292512,-2120569.09094552,2015-01-15 22:13:00,"MET.K1",31,31
1088293.14926613,-2120643.12098575,2015-01-15 23:13:00,"MET.K1",26,26
1088376.87263767,-2120669.14752532,2015-01-16 00:13:00,"MET.K1",33,33
1088801.52487099,-2120742.77809687,2015-01-16 01:13:00,"MET.K1",35,35
1088740.68083995,-2120497.34461207,2015-01-16 02:14:00,"MET.K1",33,33
1088795.88984794,-2120753.71570901,2015-01-16 21:38:00,"MET.K1",35,35
1088798.95076475,-2120757.14914454,2015-01-16 22:38:00,"MET.K1",35,35
1088335.91214076,-2120528.86224481,2015-01-16 23:38:00,"MET.K1",34,34
1088657.98764551,-2120439.10722072,2015-01-17 20:00:00,"MET.K1",32,32
1088730.37385007,-2120588.18258887,2015-01-17 20:59:00,"MET.K1",33,33
1088643.25839257,-2120602.07074499,2015-01-17 21:59:00,"MET.K1",33,33
1088793.42244354,-2120764.7547553,2015-01-17 23:00:00,"MET.K1",35,35
1088905.88976482,-2120718.32521582,2015-01-18 23:59:00,"MET.K1",36,36
